geometry,geometry_index,beta,mode_index,eigenvalue,dominant_q,q_contrast,mean_abs_xyz,field_anisotropy,boundary_ratio,score_q,score_iso
cubic,1.0,0.0,2,0.9607359798384634,X1+Y1+Z2,2.4986302410948774e-21,3.40168431617327e-18,0.256672871541348,2.487990799941016,8.49955130304868e-39,8.731200815093599e-19
cubic,1.0,0.0,3,0.9607359798384688,X1+Y1+Z1,1.1014881652303933e-21,2.6442486317840914e-18,0.1587631718875602,2.4879907999410182,2.912608573836837e-39,4.1980930004138356e-19
cubic,1.0,0.0,4,0.9607359798385073,X1+Y1+Z1,8.398583875678768e-22,2.5579140143454307e-18,0.15671212194451561,2.4879907999410187,2.1482855396254285e-39,4.008561329396866e-19
cubic,1.0,0.0,5,1.9214719596769472,Y1+Z2,7.481705169699597e-22,2.7875540578232634e-18,0.14990914273698594,3.1009816001164143,2.0855657605233398e-39,4.1787983914129194e-19
cubic,1.0,0.0,6,1.9214719596769598,X1+Y1+Z2,2.102674336240998e-21,5.326645117785265e-18,0.19002465078544617,3.1009816001164157,1.1200199987430485e-38,1.0121938783651468e-18
cubic,1.0,0.0,7,1.921471959676969,X1,7.434142188706928e-22,2.6492680862863393e-18,0.2620113373410137,3.1009816001164148,1.969503564945614e-39,6.9413827426275175e-19
cubic,1.0,0.0,8,2.882207939515442,Z1,0.15139921439941045,0.00011271220073669333,0.9999999999999979,3.713972400291808,1.7064538644764024e-05,0.00011271220073669308
cubic,1.0,0.0,9,3.8060233744356053,X1+Y1+Z1,1.7160138366372377e-21,3.3529956075014676e-18,0.8785496227904394,2.4524247075129995,5.753786856656399e-39,2.9457730261884143e-18
cubic,1.0,0.0,10,3.806023374435665,X1+Y1+Z2,1.7127687375449993e-21,4.4753456342040545e-18,0.8712113596664359,2.4524247075130017,7.665232091973203e-39,3.898971954952162e-18
cubic,1.0,0.0,11,3.806023374435668,X1+Y1+Z1,1.2288898168371357e-14,6.82545423215643e-15,0.8779258964367559,2.4524247075234444,8.387731201184968e-29,5.992243025353983e-15
cubic,1.0,0.0,12,4.766759354274103,X1+Y2,4.094611227162782e-21,5.521399952472476e-18,0.3653109274634325,3.0654155076884018,2.2607986235049854e-38,2.0170277375342725e-18
cubic,1.0,0.0,13,4.766759354274139,X1+Y1+Z1,1.0518041512543082e-14,6.308121142209569e-15,0.5235540521438309,3.0654155076885714,6.634908003991093e-29,3.3026423854179905e-15
cubic,1.0,0.0,14,4.766759354274153,X1+Y1+Z1,2.3841205451235696e-12,9.497751374920902e-14,0.3437728964719524,3.065415507682105,2.2643784185424552e-25,3.265069500127027e-14
cubic,1.0,0.0,15,5.727495334112614,Z1,0.23922498872191744,0.00021718533172487684,0.3943931162823786,3.6784063078633693,5.195615853244956e-05,8.565639978979633e-05
cubic,1.0,0.0,16,5.727495334112634,Y1,0.1915747151067155,0.00021618902429447473,0.3962852033486581,3.6784063078637916,4.141635073841279e-05,8.56725114542839e-05
cubic,1.0,0.0,17,5.727495334112918,X1,0.21265106911235948,0.0002157923287676077,0.4134566905051842,3.678406308039481,4.5888469418677545e-05,8.922078208866173e-05
cubic,1.0,0.0,18,7.6120467488712755,Y1+Z1,1.0688975843538454e-21,2.7125132130146602e-18,0.9245320906661186,3.0298494152603763,2.8993988209192582e-39,2.5078055117879145e-18
cubic,1.0,1.0,2,2.789845981123591,X1+Y1+Z1,0.16238623350134054,1.6691481770784863e-05,0.23812581722809037,1.3177852180038008,2.7104668563140398e-06,3.9746727374159185e-06
cubic,1.0,1.0,3,2.7898459811236127,X1+Y1+Z2,0.13184691156840905,1.4139459950203168e-05,0.24983932336713474,1.3177852180037959,1.8642441256794987e-06,3.53259310673546e-06
cubic,1.0,1.0,4,2.789845981123649,X1+Y2+Z1,0.11555820280925175,1.3109884003235917e-05,0.19563648150487806,1.317785218003795,1.5149546344517014e-06,2.5647715793301602e-06
cubic,1.0,1.0,5,4.312496103986095,X1+Z2,0.11426843026147314,3.0739281091106254e-05,0.19423605012798076,1.805593395645247,3.512529397646895e-06,5.970676542910206e-06
cubic,1.0,1.0,6,4.312496103986107,X1+Z1,0.10236699827510166,3.6350411055320874e-05,0.2565566776247178,1.8055933956452468,3.7210824657992684e-06,9.325940690645935e-06
cubic,1.0,1.0,7,4.312496103986124,Y1,0.11622125880642957,3.461754939479022e-05,0.2887457696800701,1.8055933956452481,4.023295167456273e-06,9.995670944436547e-06
cubic,1.0,1.0,8,5.806688711160957,X1+Y2+Z1,0.14195513553508485,1.527319543294918e-05,0.6690883953688751,1.618863166238368,2.16810852773814e-06,1.0219117824387198e-05
cubic,1.0,1.0,9,5.8066887111609695,X1+Y1+Z1,0.12796803427435827,3.5208265751855925e-05,0.7378540926810345,1.6188631662383661,4.505532558474213e-06,2.5978562981208396e-05
cubic,1.0,1.0,10,5.806688711161036,X1+Y2+Z2,0.18676476098205816,1.0120797289444768e-05,0.8732129680292744,1.6188631662383672,1.8902082867110142e-06,8.837611439938701e-06
cubic,1.0,1.0,11,5.835146226848561,Y1,0.08101503670650473,5.99903250447285e-05,0.9999999999999902,2.293401573286696,4.860118385533829e-06,5.9990325044727916e-05
cubic,1.0,1.0,12,7.329338834023518,X1+Y2+Z1,0.14056570801211277,2.8561918698808867e-05,0.2821093487942635,2.106671343879811,4.014826324082471e-06,8.057584284435668e-06
cubic,1.0,1.0,13,7.329338834023519,X1+Y1+Z1,0.11365082541435315,7.338307608124162e-05,0.5323425949343747,2.1066713438798184,8.340047168077386e-06,3.906493714535481e-05
cubic,1.0,1.0,14,7.329338834023567,X1+Z1,0.13667941715602722,8.38206458336805e-05,0.6151838982651887,2.106671343879819,1.1456557018189232e-05,5.156511165906932e-05
cubic,1.0,1.0,15,8.851988956886034,Y1,0.12933767902165239,0.0001485609783380788,0.4894893222876719,2.5944795215213134,1.9214532131433087e-05,7.27190126050997e-05
cubic,1.0,1.0,16,8.85198895688607,X1+Z1,0.1081330797790335,0.000172306038601994,0.38796869652317395,2.5944795215183007,1.8631982618558642e-05,6.68493491994873e-05
cubic,1.0,1.0,17,8.8519889568861,X1+Z2,0.10985768067733158,0.0001630222678470081,0.3652512217449269,2.59447952661392,1.7909248244431034e-05,5.9544082502748426e-05
cubic,1.0,1.0,18,10.346181564060926,X1+Y2+Z2,0.140187506669295,6.135696669673538e-05,0.6178692994166722,2.4077492921143904,8.601480178006302e-06,3.791058602724398e-05
cubic,1.0,5.0,2,5.07907856139199,X1+Y2+Z2,0.30596419788945173,9.918143332599047e-05,0.24823193045341696,0.23296860230654273,3.034596769311281e-05,2.4619998659647476e-05
cubic,1.0,5.0,3,5.079078561391995,X1+Y1+Z2,0.307115128756331,0.00010234230673180854,0.2657166367165179,0.23296860230654276,3.14308707091593e-05,2.7194053538586414e-05
cubic,1.0,5.0,4,5.079078561392021,X1+Y1+Z1,0.26854791705901826,0.00010511362987206177,0.2647102628664957,0.23296860230654245,2.8228046356654787e-05,2.7824656594285005e-05
cubic,1.0,5.0,5,7.604122075369289,X1+Y2+Z2,0.2543271051182077,0.00017544566373438653,0.2815014437215128,0.3467705506356683,4.462058776310905e-05,4.938820763590887e-05
cubic,1.0,5.0,6,7.604122075369297,X1+Y1+Z2,0.2457849913986905,0.00016826356982732276,0.29721131176606186,0.3467705506356688,4.135666006272148e-05,5.0009836310818945e-05
cubic,1.0,5.0,7,7.604122075369308,X1+Y2+Z1,0.20781838155698426,0.0001654342561227422,0.3309608035572103,0.34677055063566864,3.43802793615119e-05,5.4752254342272104e-05
cubic,1.0,5.0,8,9.191833245129073,X1+Y2+Z2,0.282271552244248,5.977344384197214e-05,0.7091538043441964,0.4054806972529287,1.6872342776257862e-05,4.238856509928872e-05
cubic,1.0,5.0,9,9.191833245129148,X1+Y2+Z1,0.16410052382568327,8.797638884342699e-05,0.4913273772383168,0.4054806972521043,1.4436971493498368e-05,4.32252083893393e-05
cubic,1.0,5.0,10,9.191833245129192,X1+Y1+Z2,0.16152335891671657,9.097305051259062e-05,0.49352656747345036,0.4054806972521087,1.4694272689693761e-05,4.489761735206766e-05
cubic,1.0,5.0,11,10.129165589346625,X1+Y2+Z1,0.10509127349505175,0.00024789725002803854,0.9999999999999968,0.46057249896479396,2.6051837701367822e-05,0.00024789725002803773
cubic,1.0,5.0,12,11.716876759106357,X1+Y2+Z2,0.17146157309466725,0.0001646063241732989,0.4079652291408493,0.5192826456563887,2.8223659284084584e-05,6.715365675939281e-05
cubic,1.0,5.0,13,11.716876759106423,X1+Y2+Z2,0.2787383195528404,0.0001700438435625437,0.2208002956616869,0.5192826456114614,4.739773520492951e-05,3.7545730934059285e-05
cubic,1.0,5.0,14,11.716876759106677,X1+Y2+Z2,0.19540462048366133,0.00016883979987800948,0.5971286095659719,0.5192826787528255,3.299207701769977e-05,0.00010081907494055276
cubic,1.0,5.0,15,14.241920273083641,X1+Y1+Z2,0.21551798377303233,0.0002804238545933531,0.40311308653255296,0.6330845939103594,6.0436383743821444e-05,0.00011304252556248239
cubic,1.0,5.0,16,14.241920273083688,X1+Y2+Z2,0.22802785603723094,0.00027456395007755745,0.4200617797550493,0.6330845939103599,6.260822888129873e-05,0.00011533382152615529
cubic,1.0,5.0,17,14.752244170576827,X1+Y1+Z2,0.2815846189861,0.00024149177042799978,0.555542541707045,0.6134042244692,6.800036816424704e-05,0.0001341589519449052
cubic,1.0,5.0,18,14.75224417057689,X1+Y1+Z1,0.31833497658015497,0.00027727993256697065,0.8289596232602975,0.6134042244691983,8.826790083985356e-05,0.00022985386843835668
tet_1.05,1.05,0.0,2,0.8714158547287632,X1+Z1,2.0456893088490094e-21,3.148201863809761e-18,0.5646572808047329,2.429038857093704,6.440242894894154e-39,1.7776551038432115e-18
tet_1.05,1.05,0.0,3,0.9607359798384707,Y1,2.222380803456985e-21,3.722427458866899e-18,0.6094945623325342,2.4582288951974673,8.27265132684696e-39,2.2687992948566878e-18
tet_1.05,1.05,0.0,4,0.9607359798384862,X1+Y2+Z2,2.0152006588085263e-21,4.1922484002772836e-18,0.6094945623325339,2.458228895197467,8.448221738127772e-39,2.555152603916268e-18
tet_1.05,1.05,0.0,5,1.8321518345672665,X1+Y2,1.365111140501523e-21,2.992598774240082e-18,0.4685454878897934,3.042029657272749,4.085229925766338e-39,1.4021686527347169e-18
tet_1.05,1.05,0.0,6,1.8321518345672758,X1,1.353378972196347e-21,2.859081284480293e-18,0.46854548788979006,3.0420296572727477,3.869420490215751e-39,1.3396096353533866e-18
tet_1.05,1.05,0.0,7,1.921471959676955,X1+Z1,1.6910357296259664e-21,3.901621984597142e-18,0.6863444539261635,3.0712196953765165,6.597782179447939e-39,2.6778566104446396e-18
tet_1.05,1.05,0.0,8,2.792887814405715,Y1,0.15139921439940593,0.00011271220073669201,0.9070294784580446,3.6550204574517977,1.7064538644763312e-05,0.00010223328865006019
tet_1.05,1.05,0.0,9,3.4521753963135025,X1,3.1257335183845283e-21,4.842769703768586e-18,0.7897935617149902,2.3951663881144376,1.5137207584886583e-38,3.82478833290484e-18
tet_1.05,1.05,0.0,10,3.806023374435653,X1+Y1+Z2,1.1392372711162834e-17,3.5265783830981975e-16,0.9252807603122223,2.4226628027690373,4.017609533538465e-33,3.263075127613748e-16
tet_1.05,1.05,0.0,11,3.806023374435675,X1+Y2+Z1,1.5081320687981321e-21,3.6747426410955454e-18,0.9252807603122181,2.422662802769243,5.541997221616137e-39,3.4001686649046147e-18
tet_1.05,1.05,0.0,12,4.412911376151991,X1+Y1+Z2,1.9604951847571025e-17,4.545392121782921e-16,0.4190555372354303,3.008157188293395,8.911219367588287e-33,1.9047717375394345e-16
tet_1.05,1.05,0.0,13,4.412911376151998,X1+Y1+Z2,4.416057720330446e-12,2.1372716904051768e-13,0.4190555372329795,3.008157188321212,9.438315148857484e-25,8.956355364355796e-14
tet_1.05,1.05,0.0,14,4.67743922916445,X1+Y1+Z2,3.90122935703627e-12,1.9844104276628056e-13,0.5705649016123714,3.006463564981844,7.741640216807037e-25,1.1322349404179925e-13
tet_1.05,1.05,0.0,15,4.677439229164595,X1+Y1+Z2,7.14486647136793e-07,8.492432560132379e-11,0.5705648949914114,3.00646355558818,6.067729665924315e-17,4.845483891893574e-11
tet_1.05,1.05,0.0,16,4.7667593542741535,X1+Y1+Z2,2.6955074850522605e-12,1.6425296894533088e-13,0.6859266164278456,3.0356536029154513,4.427451072341958e-25,1.126654832268988e-13
tet_1.05,1.05,0.0,17,4.766759354274183,X1+Y1+Z2,1.5107210894757566e-07,3.888471580133756e-11,0.6859266165394183,3.035653601323715,5.874396021935185e-18,2.6672061544708328e-11
tet_1.05,1.05,0.0,18,5.3736473559905065,Z1,0.41495568418199313,0.0002112399709664242,0.7882245212728956,3.62114798847252,8.765522667895692e-05,0.00016650452498871007
tet_1.05,1.05,1.0,2,2.6432643108516416,X1+Y2,0.12890896904964172,1.0328835964987228e-05,0.47371785552813583,1.2638514230803348,1.3314795957293647e-06,4.892954023435633e-06
tet_1.05,1.05,1.0,3,2.7628952916568226,Y1+Z1,0.10088220434255654,1.3954656360263831e-05,0.2608244563474783,1.2951548267871953,1.407776494466292e-06,3.639715658681694e-06
tet_1.05,1.05,1.0,4,2.7628952916568257,X1+Z1,0.10846598859909982,1.3049650031020337e-05,0.26082445634747703,1.2951548267871935,1.4154431914868946e-06,3.4036678748657162e-06
tet_1.05,1.05,1.0,5,4.165914433714132,X1+Y2,0.11025767738178334,2.99851796320624e-05,0.19754071463986864,1.7516596007246892,3.306096262106757e-06,5.9232938131224395e-06
tet_1.05,1.05,1.0,6,4.165914433714152,X1+Y1,0.11738872064602648,3.33542381203282e-05,0.19754071463986886,1.751659600724687,3.915411341068255e-06,6.58882003455799e-06
tet_1.05,1.05,1.0,7,4.285545414519336,Z1,0.14821682355611862,2.59068150261652e-05,0.5639937887760552,1.7829630044315492,3.83982583163413e-06,1.4611282761727349e-05
tet_1.05,1.05,1.0,8,5.393431906787956,X1+Y1+Z1,0.12170313695775066,2.2474012507292333e-05,0.511388025258182,1.5566976569786566,2.7351578221652e-06,1.1492940875731912e-05
tet_1.05,1.05,1.0,9,5.688564556576653,Z1,0.08367645829554632,5.9334873195657414e-05,0.9138522027229404,2.239467778369046,4.964932042427957e-06,5.422330456813788e-05
tet_1.05,1.05,1.0,10,5.779738021694277,X1+Y2+Z2,0.14948550440292527,9.139252981177241e-06,0.6988940803837544,1.5962327750235592,1.3661858417572184e-06,6.3873698076743546e-06
tet_1.05,1.05,1.0,11,5.779738021694393,X1+Y1+Z1,0.12669703079684752,3.2186210119025775e-05,0.6988940803837641,1.5962327750235634,4.077897254684014e-06,2.2494751722175123e-05
tet_1.05,1.05,1.0,12,6.9160820296504655,X1+Y2+Z2,0.10460854354272682,6.48962049681135e-05,0.19363998226347542,2.0445058346229845,6.788697483164625e-06,1.2566499978992364e-05
tet_1.05,1.05,1.0,13,6.9160820296505054,X1+Y1+Z2,0.11059302404284373,7.276262150585162e-05,0.1936399822631044,2.0445058346223046,8.047038349616986e-06,1.4089752737810086e-05
tet_1.05,1.05,1.0,14,7.1827571637515675,X1+Y1,0.13603094576340405,7.524470282318275e-05,0.6180048264136219,2.052737548960958,1.0235608088723827e-05,4.650158950678562e-05
tet_1.05,1.05,1.0,15,7.182757163753383,X1+Y2,0.18560040776264028,1.747649550796152e-05,0.6180048453270227,2.0527375290416128,3.243644692539609e-06,1.0800558903256167e-05
tet_1.05,1.05,1.0,16,7.302388144556779,Y1+Z1,0.13486073186768144,5.598565614919482e-05,0.5633416784102806,2.0840409526923893,7.550266562372773e-06,3.153905350198826e-05
tet_1.05,1.05,1.0,17,7.302388144556836,X1+Z2,0.13486390583173546,5.600533982201527e-05,0.5633416781085674,2.0840409533826096,7.5530988758306115e-06,3.155014211837466e-05
