beta,mode,lambda,xyz_mean_abs,xyz_std_abs,xyz_uniformity,xyz_same_sign,best_q,best_q_label,best_q_amp,corr_x,corr_y,corr_z,corr_mean,axis_mean_abs,pair_mean_abs,dominance_over_axis,dominance_over_pair,score,ncell,pts_per_cell
0.0,18,6.750997698987167,0.041432284316033345,0.03422615671014739,0.17392542373286846,5.706573720879305e-16,"(0, 0, 1)",Z1,0.6075269673815261,0.9770457741146455,0.7003938189263833,-0.42816491304350585,0.41642489333250765,0.6936301458460369,0.2998738876900201,0.0597325311827348,0.13816569570359455,3.613088966295079e-05,3,6
1.0,17,8.41805923724714,0.011923853640695248,0.00891945164361155,0.25196568891374516,0.11705869814773477,"(2, 2, 2)",X2+Y2+Z2,0.48373802662008075,-0.3285627279684173,-0.32856272796900815,-0.32856272796866054,-0.32856272796869535,0.6705731929347732,0.21355354941221827,0.017781584122846177,0.055835427102542835,1.4429409605542055e-06,3,6
3.0,13,11.127835581585954,0.02634886096515803,0.021007370775228715,0.20272186327118058,0.08065570132868789,"(1, 2, 1)",X1+Y2+Z1,0.7176826355007687,-0.7275113595423451,-0.6926939169355801,-0.7476539657468078,-0.7226197474082442,0.7738916498681037,0.24956639341342116,0.03404722220435988,0.10557856210034464,1.3780097857460896e-05,3,6
4.5,17,12.631570560389891,0.02324606441045541,0.012640194023905689,0.45624369782697705,0.029748384789574825,"(2, 2, 2)",X2+Y2+Z2,0.742562903802605,-0.6526864868118942,-0.6526864868118926,-0.652686486811892,-0.6526864868118929,0.609051357737755,0.1980731601244484,0.038167658794489794,0.11736100133834339,3.5277588672603564e-05,3,6
5.0,17,12.928646744114673,0.022794538513882735,0.01045305515908665,0.5414228214043515,0.08429112852546734,"(2, 2, 2)",X2+Y2+Z2,0.7289272178686321,-0.5996287819688633,-0.5996287819688726,-0.5996287819688738,-0.5996287819688698,0.6061178683146082,0.18644559509429945,0.03760743529516125,0.12225839126075204,4.1362227836135125e-05,3,6
10.0,4,5.983170640286718,0.03082548775715428,0.023193725783904565,0.24757960144456148,0.13513011124578894,"(2, 2, 2)",X2+Y2+Z2,0.7782875226372257,-0.6895148900291923,-0.6895148900291871,-0.6895148900291975,-0.6895148900291922,0.7027455388025371,0.17063060143008832,0.043864366339031034,0.18065626856378444,4.7068437366747756e-05,3,6
