family,beta,pts_per_cell,best_mode,lambda,order_mean_abs,uniformity,score,primary_amp,secondary_amp,polarization,q_1,q_2,q_3
fcc,1.0,5,20,10.498196412970348,0.07784221457820487,0.10517238264969414,0.00010897693300040687,0.07784221457820487,0.03953124792122372,-0.3264022875457672,Z1,Y1,X1
fcc,1.0,6,17,8.41805923724713,0.005578454610076242,0.5798801084972655,4.849655810500323e-07,0.005578454610076242,0.002907050815870862,-0.3148196436285819,X1+Y1+Z1,X1+Y1+Z1,X1+Y1+Z1
fcc,1.0,7,20,10.108272237049789,0.03572106055533191,0.07455186246483567,9.635169299825859e-06,0.03572106055533191,0.01524794901104907,-0.401677641344368,Z1,Y1,X1
fcc,5.0,5,17,13.361328518454046,0.056444216858266436,0.47603520526176546,0.00029938600131716037,0.056444216858266436,0.030971602382048193,-0.29139593608556413,X2+Y2+Z1,X1+Y1+Z1,X1+Y2+Z2
fcc,5.0,6,17,12.92864674411461,0.011528123456261532,0.3975473170345218,3.688909693916337e-06,0.011528123456261532,0.005257464156779786,-0.37357401146978464,X1+Y1+Z1,X1+Y1+Z1,X1+Y1+Z1
fcc,5.0,7,17,12.691882478692712,0.02728867993974471,0.3849515906693211,4.270039031532126e-05,0.02728867993974471,0.016519346449863512,-0.2458301452364803,X1+Y1+Z1,X1+Y1+Z1,X1+Y2+Z2
bcc,1.0,5,17,8.587455070087499,0.020381936008702858,0.42476698897957604,0.004563540771109002,0.018211820962511834,0.02281064130368881,-0.11210493195982384,X2+Y2+Z2,X1+Y1,
bcc,1.0,6,17,8.418059237247121,0.006659162163288232,0.37975287309388106,0.0013807126522822199,0.0029070508158705968,0.015254098922137155,-0.679860487049777,X1+Y1+Z1,X1+Z1,
bcc,1.0,7,17,8.325227311787813,0.009511356894310784,0.3342708714994739,0.0018075047164444827,0.008340302736649588,0.01084683767813621,-0.13063619107904853,X2+Y2+Z2,X1+Y1,
bcc,5.0,5,17,13.361328518454007,0.03777531239577429,0.683490672261939,0.01646657600738325,0.03097160238204817,0.04607363251652244,-0.19601510923233298,X2+Y2+Z2,X1+Y1,
bcc,5.0,6,17,12.928646744114625,0.012473769865420552,0.666467398083436,0.0053327808313523494,0.005257464156780845,0.029595053815972168,-0.6983021909124975,X2+Y2+Z2,X1+Z1,
bcc,5.0,7,17,12.691882478692685,0.01840366097191287,0.5906125251481107,0.007067871567530917,0.01651934644986306,0.020502913852982155,-0.10759924895274002,X2+Y2+Z2,Y1+Z1,
