n,A_1F,A_6F,A_V,D_1F,D_6F,n_face_samples,n_multiface_samples,n_volume_samples
13,0.7023809523809523,0.6428571428571429,1.0,0.29761904761904767,0.3571428571428571,168,28,28
17,0.7678571428571429,0.7142857142857143,1.0,0.2321428571428571,0.2857142857142857,168,28,28
