section,task,real,shuffle_mean,shuffle_std,z_score,p_ge,n_perm
classification,supercell_volume_qdominated,0.6111111111111112,0.5259259259259259,0.13350350996077284,0.6380744986421291,0.3870967741935484,30
metrics,primitive_score_mean,3.0648368006072727e-07,0.01784753504553778,0.002573736548347587,-6.934364969603909,1.0,30
metrics,fcc_score_mean,9.795576072968441e-07,0.01978913607778469,0.0024266597463274762,-8.15448335932418,1.0,30
metrics,center_qamp_mean,0.595454887470927,0.422466181936902,0.01329007475157335,13.01638318577047,0.03225806451612903,30
metrics,face_qamp_mean,0.6087222783037446,0.49382214082249387,0.01231615449577911,9.329221837921814,0.03225806451612903,30
metrics,qamp_gap_mean,0.01326739083281775,0.07135595888559204,0.019382013795039066,-2.997034707902199,1.0,30
