dataset,full_accuracy,most_informative_group,accuracy_without_group,drop_delta,best_single_group,best_single_accuracy,single_delta
cube_raw_1F,0.6428571428571429,abs_coeffs,0.5396825396825397,-0.10317460317460325,abs_coeffs,0.6190476190476191,-0.023809523809523836
cube_raw_6F,0.7142857142857143,face_means,0.6666666666666666,-0.04761904761904767,face_means,0.7619047619047619,0.04761904761904756
cube_scan_1F,0.48412698412698413,patch_std,0.4603174603174603,-0.023809523809523836,patch_mean,0.49206349206349204,0.007936507936507908
cube_volume,0.9523809523809523,abs_pair3d,0.7619047619047619,-0.19047619047619047,abs_axis,1.0,0.04761904761904767
supercell_raw_1F,0.4166666666666667,abs_coeffs,0.3888888888888889,-0.02777777777777779,abs_coeffs,0.6388888888888888,0.22222222222222215
supercell_scan_1F,0.3611111111111111,patch_std,0.3611111111111111,0.0,patch_std,0.4861111111111111,0.125
supercell_volume,0.9166666666666666,uniformity_tail,0.8333333333333334,-0.08333333333333326,uniformity_tail,1.0,0.08333333333333337
